timestamp,difference_y
252127,0
252328,0
252529,0
252730,0
252931,0
253132,0
253333,0
253534,0
253735,0
253936,0
254137,0
254338,0
254539,0
254740,0
254941,0
255142,0
255343,0
255544,0
255745,0
255946,0
256147,0
256348,0
256549,0
256750,0
256951,0
257152,0
257353,0
257554,0
257755,0
257956,0
258157,0
258358,0
258559,0
258760,0
258961,0
259162,0
259363,0
259564,0
259765,0
259966,0
260167,0
260368,0
260569,0
260770,0
260971,0
261172,0
261373,0
261574,0
261775,0
261976,0
262177,0
262378,0
262579,0
262780,0
262981,0
263182,0
263383,0
263584,0
263785,0
263986,0
264187,-25
264388,-54
264589,-34
264790,54
264991,60
265192,53
265393,60
265594,41
265795,36
265996,93
266197,81
266398,76
266599,74
266800,65
267001,70
267202,65
267403,50
267604,56
267805,57
268006,40
268207,36
268408,69
268609,119
268810,113
269011,106
269212,93
269413,76
269614,79
269815,102
270016,146
270217,140
270418,64
270619,24
270820,43
271021,27
271222,3
271423,-53
271624,49
271825,82
272026,78
272227,36
272428,22
272629,43
272830,-3
273031,37
273232,66
273433,0
273634,0
273835,0
274036,0
274237,0
274438,0
274639,0
274840,0
275041,0
275242,0
275443,0
275644,0
275845,0
276046,0
276247,0
276448,0
276649,0
276850,0
277051,0
277252,0
277453,0
277654,0
277855,0
278056,0
278257,0
278458,0
278659,0
278860,0
279061,0
279262,0
279463,0
279664,0
279865,0
280066,0
280267,0
280468,0
280669,0
280870,0
281071,0
281272,0
281473,0
281674,0
281875,0
282076,250
282277,318
282478,360
282679,337
282880,345
283081,328
283282,316
283483,311
283684,316
283885,369
284086,389
284287,390
284488,369
284689,371
284890,354
285091,334
285292,341
285493,334
285694,339
285895,316
286096,333
286297,338
286498,338
286699,349
286900,367
287101,372
287302,287
287503,257
287704,224
287905,222
288106,215
288307,224
288508,229
288709,240
288910,247
289111,258
289312,284
289513,282
289714,287
289915,278
290116,253
290317,255
290518,246
290719,0
290920,0
291121,0
291322,0
291523,0
291724,0
291925,0
292126,0
292327,0
292528,0
292729,0
292930,0
293131,0
293332,0
293533,0
293734,0
293935,0
294136,0
294337,0
294538,0
294739,0
294940,0
295141,0
