timestamp,difference_x
119735,63
119936,32
120137,18
120338,-8
120539,-24
120740,-15
120941,-42
121142,-52
121343,-46
121544,-50
121745,-21
121946,-21
122147,-29
122348,-13
122549,21
122750,21
122951,73
123152,52
123353,-25
123554,-80
123755,-120
123956,-33
124157,15
124358,62
124559,17
124760,30
124961,52
125162,50
125363,38
125564,47
125765,4
125966,-29
126167,-41
126368,-67
126569,0
126770,0
126971,0
127172,0
127373,0
127574,0
127775,0
127976,0
128177,0
128378,0
128579,0
128780,0
128981,0
129182,0
129383,0
129584,0
129785,0
129986,0
130187,0
130388,0
130589,0
130790,0
130991,0
131192,0
131393,0
131594,0
131795,0
131996,0
132197,0
132398,0
132599,0
132800,0
133001,-11
133202,-55
133403,-148
133604,-138
133805,-182
134006,-181
134207,-166
134408,-196
134609,-208
134810,-225
135011,-238
135212,-225
135413,-186
135614,-188
135815,-199
136016,-225
136217,-248
136418,-250
136619,-242
136820,-231
137021,-264
137222,-253
137423,-298
137624,-292
137825,-295
138026,-258
138227,-251
138428,-167
138629,-138
138830,-123
139031,-70
139232,-50
139433,-5
139634,0
139835,0
140036,0
140237,0
140438,0
140639,0
140840,0
141041,0
141242,0
141443,0
141644,0
141845,0
142046,0
142247,0
142448,0
142649,0
142850,0
143051,0
143252,0
143453,0
143654,0
143855,0
144056,0
144257,0
144458,0
144659,0
144860,0
145061,0
145262,0
145463,0
145664,-204
145865,-154
146066,-115
146267,-46
146468,-23
146669,20
146870,14
147071,34
147272,48
147473,41
147674,-27
147875,-17
148076,-14
148277,6
148478,-18
148679,-5
148880,1
149081,-22
149282,-14
149483,-27
149684,-38
149885,-9
150086,21
150287,1
150488,-12
150689,-51
150890,-60
151091,-62
151292,-89
151493,-124
151694,-131
151895,-144
152096,0
152297,0
152498,0
152699,0
152900,0
153101,0
153302,0
153503,0
153704,0
153905,0
154106,0
154307,0
154508,0
154709,0
154910,0
155111,0
155312,0
155513,0
155714,0
155915,0
156116,0
156317,0
156518,0
156719,0
156920,0
157121,0
157322,0
157523,0
157724,0
157925,0
158126,0
158327,0
158528,-70
158729,-28
158930,-90
159131,-132
159332,-112
159533,-130
159734,-169
159935,-185
160136,-219
160337,-246
160538,-218
160739,-221
160940,-220
161141,-163
161342,-153
161543,-122
161744,-128
161945,-134
162146,-135
162347,-148
162548,-136
162749,-126
162950,-124
163151,-120
163352,-47
163553,-82
163754,-105
163955,-141
164156,-156
164357,-78
164558,-62
164759,-13
164960,37
165161,0
165362,0
165563,0
165764,0
165965,0
166166,0
166367,0
166568,0
166769,0
166970,0
167171,0
167372,0
167573,0
167774,0
167975,0
168176,0
168377,0
168578,0
168779,0
168980,0
169181,0
169382,0
169583,0
169784,0
169985,0
170186,0
170387,0
170588,0
170789,0
170990,0
171191,0
171392,-183
171593,-157
171794,-91
171995,-4
172196,49
172397,60
172598,20
172799,-1
173000,-20
173201,1
173402,-23
173603,-37
173804,-61
174005,-45
174206,-10
174407,-20
174608,-24
174809,-68
175010,-51
175211,-36
175412,-31
175613,-37
175814,-32
176015,-34
176216,-51
176417,-51
176618,-79
176819,-108
177020,-81
177221,0
177422,0
177623,0
177824,0
178025,0
178226,0
178427,0
178628,0
178829,0
179030,0
179231,0
179432,0
179633,0
