timestamp, anchor_1, anchor_2, anchor_3, anchor_4, position_x, position_y, position_z,df,foo
4475329,0,1026,2862,2032,416,-49,1233,0,
4475530,0,1096,2838,2041,416,-49,1233,0,
4475731,0,1054,2786,1994,416,-49,1233,0,
4475932,0,1400,2805,2046,416,-49,1233,0,
4476133,0,1040,2829,2065,416,-49,1233,0,
4476334,0,1040,2843,1986,416,-49,1233,0,
4476741,0,1040,2843,1986,416,-49,1233,0,
4476942,0,960,2843,1929,416,-49,1233,0,
4477143,0,1153,2838,2060,416,-49,1233,0,
4477344,0,1059,2791,1929,416,-49,1233,0,
4477545,0,1078,2810,2032,416,-49,1233,0,
4477746,0,984,2791,2037,416,-49,1233,0,
4477947,0,951,2810,2041,416,-49,1233,0,
4478148,0,1190,2796,1994,416,-49,1233,0,
4478349,0,1017,2782,1990,416,-49,1233,0,
4478550,0,1012,2786,1967,416,-49,1233,0,
4478751,0,1068,2805,2004,416,-49,1233,0,
4478952,0,1106,2810,2027,416,-49,1233,0,
4479153,0,1096,2876,1915,416,-49,1233,0,
4479354,0,1139,2847,2023,416,-49,1233,0,
4479555,0,1021,2782,2004,416,-49,1233,0,
4479756,0,1026,2824,2027,416,-49,1233,0,
4479957,0,1228,2829,2027,416,-49,1233,0,
4480158,0,1176,2838,1994,416,-49,1233,0,
4480359,0,1181,2824,1999,416,-49,1233,0,
4480560,0,1082,2847,2008,416,-49,1233,0,
4480761,0,1064,2819,1972,416,-49,1233,0,
4480962,0,1073,2843,1990,416,-49,1233,0,
4481163,0,1297,2786,2013,416,-49,1233,0,
4481364,0,988,2810,1915,416,-49,1233,0,
4481565,0,1035,2819,1953,416,-49,1233,0,
4481766,0,1045,2852,2069,416,-49,1233,0,
4481967,0,1059,2819,2027,416,-49,1233,0,
4482168,0,1153,2777,2079,416,-49,1233,0,
4482369,0,1078,2796,1972,416,-49,1233,0,
4482570,0,1157,2786,2051,416,-49,1233,0,
4482771,0,1139,2819,2018,416,-49,1233,0,
4482972,0,1054,2796,2041,416,-49,1233,0,
4483173,0,1054,2758,2046,416,-49,1233,0,
4483374,0,2777,1967,2046,400,3,1274,88,
4483575,0,1087,2777,2051,400,3,1274,0,
4483776,0,965,2819,2065,400,3,1274,0,
4483977,0,1021,2824,2121,400,3,1274,0,
4484178,0,1087,2805,2084,400,3,1274,0,
4484379,0,1012,2843,2126,400,3,1274,0,
4484580,0,988,2810,2046,400,3,1274,0,
4484781,0,1049,2810,2055,400,3,1274,0,
4484982,0,1139,2805,2205,400,3,1274,0,
4485183,0,1040,2749,2004,400,3,1274,0,
4485384,0,1358,2749,2051,400,3,1274,0,
4485585,0,1171,2815,2008,400,3,1274,0,
4485786,0,1087,2796,2098,400,3,1274,0,
4485987,0,1287,2758,1994,400,3,1274,0,
4486188,0,1012,2838,2079,400,3,1274,0,
4486389,0,979,2815,2055,400,3,1274,0,
4486590,0,1045,2810,2023,400,3,1274,0,
4486791,0,984,2801,2121,400,3,1274,0,
4486992,0,1068,2819,2065,400,3,1274,0,
4487193,0,988,2791,1986,400,3,1274,0,
4487394,1334,2833,0,2065,400,3,1274,0,
4487595,0,993,2768,1986,400,3,1274,0,
4487796,0,1377,2815,2046,400,3,1274,0,
4487997,0,1348,2815,2023,400,3,1274,0,
4488198,0,1092,2791,2046,400,3,1274,0,
4488399,0,1087,2796,2069,400,3,1274,0,
4488600,0,1391,2852,2055,400,3,1274,0,
4488801,0,1157,2866,2008,400,3,1274,0,
4489002,0,1344,2801,2051,400,3,1274,0,
4489203,0,1209,2791,2093,400,3,1274,0,
4489404,0,1082,2819,2037,400,3,1274,0,
4489605,0,1059,2782,2065,400,3,1274,0,
4489806,0,1442,2829,2041,400,3,1274,0,
4490007,0,1035,2815,2037,400,3,1274,0,
4490208,0,1185,2824,2032,400,3,1274,0,
4490409,0,1409,2862,2008,400,3,1274,0,
4490610,0,1344,2847,2027,400,3,1274,0,
4490811,0,1391,2801,2055,400,3,1274,0,
4491012,0,1414,2758,2032,400,3,1274,0,
4491213,0,1045,2758,2055,400,3,1274,0,
4492365,0,993,2843,2041,393,24,1304,0,
4492566,0,1362,2815,2041,393,24,1304,0,
4492767,1092,2824,2065,2041,393,24,1304,0,
4492968,0,993,2749,2121,393,24,1304,0,
4493169,0,1068,2796,2051,393,24,1304,0,
4493370,0,970,2810,2051,393,24,1304,0,
4493571,0,1400,2847,2046,393,24,1304,0,
4493772,0,1073,2815,2051,393,24,1304,0,
4493973,0,1082,2824,2027,393,24,1304,0,
4494174,0,1064,2810,2069,393,24,1304,0,
4494375,0,1012,2810,1990,393,24,1304,0,
4494576,0,1064,2786,2069,393,24,1304,0,
4494777,0,1031,2819,2037,393,24,1304,0,
4494978,0,1021,2829,2037,393,24,1304,0,
4495179,0,1068,2786,2055,393,24,1304,0,
4495380,0,1082,2866,2032,393,24,1304,0,
4495581,0,1096,2791,2060,393,24,1304,0,
4495782,0,1012,2838,2046,393,24,1304,0,
4495983,0,1082,2819,2013,393,24,1304,0,
4496184,0,998,2824,2046,393,24,1304,0,
4496385,0,1073,2786,2060,393,24,1304,0,
4496586,0,1148,2824,2065,393,24,1304,0,
4496787,0,1134,2824,2116,393,24,1304,0,
4496988,0,1157,2805,2023,393,24,1304,0,
4497189,0,1049,2847,2037,393,24,1304,0,
4497390,0,1096,2815,1994,393,24,1304,0,
4497591,0,1139,2796,1994,393,24,1304,0,
4497792,0,1031,2824,1994,393,24,1304,0,
4497993,0,1348,2838,2008,393,24,1304,0,
4498194,0,998,2768,2060,393,24,1304,0,
4498395,0,1012,2801,2041,393,24,1304,0,
4498596,0,1386,2824,2074,393,24,1304,0,
4498797,0,1381,2791,2051,393,24,1304,0,
4498998,0,1059,2847,2008,393,24,1304,0,
4499199,0,1082,2866,2140,393,24,1304,0,
4499400,0,1344,2815,2018,393,24,1304,0,
4499601,0,1386,2829,2084,393,24,1304,0,
4499802,0,1195,2801,1994,393,24,1304,0,
4500003,0,1078,2805,2121,393,24,1304,0,
4500204,0,1306,2843,2060,393,24,1304,0,
4500405,0,1082,2810,2032,393,24,1304,0,
4500606,0,1003,2815,2107,393,24,1304,0,
4500807,0,1040,2786,2013,393,24,1304,0,
4501008,0,1012,2847,2102,393,24,1304,0,
4501209,0,1017,2847,2079,393,24,1304,0,
4501410,0,1017,2847,2079,393,24,1304,0,
4501611,0,1433,2838,2046,393,24,1304,0,
4501812,0,1007,2815,2055,393,24,1304,0,
4502013,0,1391,2833,2013,393,24,1304,0,
4502214,0,1059,2810,2144,393,24,1304,0,
4502415,0,1026,2810,2065,393,24,1304,0,
4502616,0,1391,2791,2093,393,24,1304,0,
4502817,0,1214,2796,2051,393,24,1304,0,
4503018,0,1101,2824,2102,393,24,1304,0,
4503219,0,1059,2815,2112,393,24,1304,0,
4503420,0,1031,2805,2098,393,24,1304,0,
4503621,0,1003,2805,2069,393,24,1304,0,
4503822,0,970,2824,2055,393,24,1304,0,
4504023,0,1064,2782,2023,393,24,1304,0,
4504224,0,1269,2829,2107,393,24,1304,0,
4504425,0,1040,2782,2065,393,24,1304,0,
4504626,0,1026,2824,2065,393,24,1304,0,
4504827,0,1381,2791,2093,393,24,1304,0,
4505028,0,1040,2758,2107,393,24,1304,0,
4505229,0,1054,2838,2088,393,24,1304,0,
4505430,0,1096,2847,2004,393,24,1304,0,
4505631,0,1007,2782,1994,393,24,1304,0,
4505832,0,998,2801,2079,393,24,1304,0,
4506033,0,1320,2777,2060,393,24,1304,0,
4506234,0,1017,2754,2060,393,24,1304,0,
4506435,0,1045,2791,2018,393,24,1304,0,
4506636,0,1330,2857,2116,393,24,1304,0,
4506837,0,1395,2815,2046,393,24,1304,0,
4507038,0,1007,2772,1994,393,24,1304,0,
4507239,0,1157,2833,2116,393,24,1304,0,
4507440,0,1330,2862,2046,393,24,1304,0,
4507641,0,1353,2768,2023,393,24,1304,0,
4507842,0,1101,2805,2041,393,24,1304,0,
4508043,0,1021,2754,2051,393,24,1304,0,
4508244,0,1017,2847,1981,393,24,1304,0,
4508445,0,1148,2819,1994,393,24,1304,0,
4508646,0,998,2791,2032,393,24,1304,0,
4508847,0,1372,2805,2084,393,24,1304,0,
4509048,0,960,2824,2004,393,24,1304,0,
4509249,0,1012,2782,2069,393,24,1304,0,
4509450,0,1064,2819,2173,393,24,1304,0,
4509651,0,1110,2843,2023,393,24,1304,0,
4509852,0,1021,2866,2018,393,24,1304,0,
4510053,0,984,2805,2013,393,24,1304,0,
4510254,0,1021,2772,1981,393,24,1304,0,
4510455,0,1064,2810,2027,393,24,1304,0,
4510656,0,1143,2782,2041,393,24,1304,0,
4510857,0,1106,2829,1986,393,24,1304,0,
4511058,0,1035,2801,1986,393,24,1304,0,
4511259,0,1087,2847,2055,393,24,1304,0,
4511460,0,1045,2810,2084,393,24,1304,0,
4511661,0,1064,2796,2023,393,24,1304,0,
4511862,0,1017,2847,2055,393,24,1304,0,
4512063,0,1171,2786,2013,393,24,1304,0,
4512264,0,1353,2810,2023,393,24,1304,0,
4512465,0,1082,2843,2069,393,24,1304,0,
4512666,0,1078,2740,2060,393,24,1304,0,
4512867,0,1073,2772,2027,393,24,1304,0,
4513068,0,1110,2805,2004,393,24,1304,0,
4513269,0,1073,2838,2060,393,24,1304,0,
4513470,0,1040,2782,2069,393,24,1304,0,
4513671,0,1334,2782,2037,393,24,1304,0,
4513872,0,1330,2805,2013,393,24,1304,0,
4514073,0,1026,2824,2037,393,24,1304,0,
4514274,0,1049,2782,2032,393,24,1304,0,
4514475,0,1353,2805,2023,393,24,1304,0,
4514676,0,1007,2786,2008,393,24,1304,0,
4514877,0,1348,2749,2098,393,24,1304,0,
4515078,0,1377,2810,2032,393,24,1304,0,
4515279,0,1045,2815,2023,393,24,1304,0,
4515480,0,1026,2801,2027,393,24,1304,0,
4515681,0,1124,2768,1994,393,24,1304,0,
4515882,0,1064,2777,2084,393,24,1304,0,
4516083,0,1148,2805,1976,393,24,1304,0,
4516284,0,1017,2829,2018,393,24,1304,0,
4516485,0,1143,2768,2069,393,24,1304,0,
4516686,0,1068,2777,2018,393,24,1304,0,
4516887,0,1054,2838,1999,393,24,1304,0,
4517088,0,1017,2862,2013,393,24,1304,0,
4517289,0,1031,2894,2069,393,24,1304,0,
4517490,0,1106,2819,2130,393,24,1304,0,
4517691,0,1334,2810,2023,393,24,1304,0,
4517892,0,1040,2810,2037,393,24,1304,0,
4518093,0,1157,2843,2079,393,24,1304,0,
4518294,0,1181,2838,2079,393,24,1304,0,
4518495,0,1054,2829,2004,393,24,1304,0,
4518696,0,979,2833,1990,393,24,1304,0,
4518897,0,1106,2796,2037,393,24,1304,0,
4519098,0,1040,2013,2037,393,24,1304,0,
4519299,0,1035,2885,2079,393,24,1304,0,
4519500,0,1059,2847,2013,393,24,1304,0,
4519701,0,1120,2852,2079,393,24,1304,0,
4519902,0,1092,2824,2008,393,24,1304,0,
4520103,0,1082,2899,2065,393,24,1304,0,
4520304,0,1087,2833,2041,393,24,1304,0,
4520505,0,1054,2847,2055,393,24,1304,0,
4520706,0,998,2852,2023,393,24,1304,0,
4520907,0,1124,2815,2041,393,24,1304,0,
4521108,0,1012,2796,2051,393,24,1304,0,
4521309,0,1092,2810,2004,393,24,1304,0,
4521510,0,1087,2805,2008,393,24,1304,0,
4521711,0,1054,2829,2027,393,24,1304,0,
4521912,0,1059,2852,2055,393,24,1304,0,
4522113,0,1045,2777,2116,393,24,1304,0,
4522314,0,1330,2843,2013,393,24,1304,0,
4522515,0,1003,2843,2121,393,24,1304,0,
4522716,0,1120,2772,2069,393,24,1304,0,
4522917,0,1381,2847,2060,393,24,1304,0,
4523118,0,1330,2824,2079,393,24,1304,0,
4523319,0,1124,2791,1999,393,24,1304,0,
4523520,0,1007,2815,2046,393,24,1304,0,
4523721,0,1068,2782,2046,393,24,1304,0,
4523922,0,1134,2838,2069,393,24,1304,0,
4524123,0,1115,2833,2027,393,24,1304,0,
4524324,0,1049,2819,1994,393,24,1304,0,
4524525,0,1101,2796,2116,393,24,1304,0,
4524726,0,1068,2843,2074,393,24,1304,0,
4524927,0,1003,2819,1990,393,24,1304,0,
4525128,0,1120,2833,1994,393,24,1304,0,
