timestamp, anchor_1, anchor_2, anchor_3, anchor_4, position_x, position_y, position_z,df,foo
417304,3128,4332,4961,6169,1270,2780,839,78,
417505,3114,4314,4960,6183,1268,2777,853,79,
417706,3128,4332,4984,6160,1269,2774,834,77,
417907,3114,4351,4965,6071,1262,2766,816,77,
418108,3194,4389,4834,6221,1267,2813,894,81,
418309,3283,4379,4806,6089,1287,2864,909,82,
418510,3363,4445,4820,5973,1303,2911,848,79,
418711,3424,4407,4759,5907,1339,2968,832,83,
418912,3447,4426,4694,5921,1362,3021,861,85,
419113,3550,4483,4656,5837,1380,3083,836,84,
419314,3555,4576,4525,5771,1377,3150,904,86,
419515,3630,4670,4440,5724,1358,3225,884,86,
419716,3743,4445,4665,5546,1387,3286,830,86,
419917,3799,4379,4694,5523,1388,3350,788,87,
420118,3827,4328,4769,5438,1397,3408,758,86,
420319,3883,4239,4708,5401,1299,3399,760,76,
420520,3916,4174,4839,5382,1335,3491,836,90,
420721,3967,4202,4905,5429,1251,3500,753,86,
420922,4000,4080,4960,5387,1299,3589,763,88,
421123,4066,4075,4933,5387,1334,3654,803,90,
421324,4066,3962,4974,5312,1223,3642,807,76,
421525,4103,3981,4984,5260,1103,3720,608,75,
421726,4211,3967,5045,5171,1063,3700,653,81,
421927,4286,3864,5195,5185,1009,3764,581,79,
422128,3864,4337,5059,5148,1040,3873,453,74,
422329,3818,4361,5082,5237,1023,3949,365,73,
422530,3738,4332,5068,5228,980,3912,528,81,
422731,3700,4417,4984,5368,1008,4015,463,74,
422932,3672,4520,4956,5326,1019,4102,372,71,
423133,3607,4553,4914,5368,1012,4130,416,72,
423334,3597,4623,4891,5382,1028,4204,351,70,
423535,3546,4604,4820,5452,1033,4214,430,73,
423736,3494,4698,4778,5447,1053,4301,376,71,
423937,3503,4759,4961,5391,1023,4264,512,80,
424138,3480,4811,4670,5391,1067,4243,566,79,
424339,3438,4886,4506,5349,1160,4318,562,82,
424540,3438,4960,4384,5298,1273,4336,671,85,
424741,3550,4342,5101,5363,1383,4423,641,72,
424942,3560,4309,5040,5326,1462,4515,454,76,
425143,3644,4253,5007,5195,1563,4541,401,79,
425344,3696,4202,5007,5246,1669,4540,376,81,
425545,3738,4206,5063,5040,1736,4430,481,88,
425746,3827,4169,5082,5031,1885,4467,434,80,
425947,3827,4108,5012,5054,1998,4475,458,85,
426148,3851,4127,5087,5026,2011,4474,377,81,
426349,3887,4052,5007,4993,2032,4454,410,88,
426550,3911,4094,5078,4891,2150,4467,473,90,
426751,3958,4042,5082,4872,2232,4458,489,89,
426952,3991,4000,5059,4928,2229,4441,461,87,
427153,3991,4000,5120,4806,2239,4389,455,90,
427354,3972,4014,4900,5157,2319,4379,589,94,
427555,3967,4028,4806,5148,2454,4412,617,89,
427756,3902,4028,4839,5181,2486,4414,654,87,
427957,3981,4056,4876,5181,2483,4401,675,93,
428158,3902,4089,4839,5148,2438,4354,733,93,
428359,3845,4136,4773,5289,2449,4315,882,94,
428560,3850,4159,4717,5330,2539,4325,886,95,
428761,3790,4197,4778,5331,2576,4317,867,91,
428962,3859,4243,4694,5326,2599,4292,869,93,
429163,3827,4309,4698,5368,2636,4278,853,90,
429364,3804,4328,4731,5429,2664,4279,783,88,
429565,3743,4342,4600,5326,2782,4318,763,84,
429766,3729,4346,4633,5462,2799,4290,874,91,
429967,3757,4412,4642,5480,2812,4274,857,88,
430168,3710,4412,4651,5485,2846,4272,853,87,
430369,3658,4445,4651,5513,2888,4289,792,86,
430570,3639,4478,4543,5471,2938,4283,835,89,
430771,3654,4553,4590,5574,2990,4277,825,84,
430972,3654,4576,4609,5527,3039,4284,722,83,
431173,3663,4642,4642,5640,3077,4290,613,79,
431374,3654,4689,4543,5612,3124,4275,601,81,
431575,3630,4553,4670,5644,3168,4273,596,81,
431776,3602,4440,4783,5579,3236,4281,583,78,
431977,3611,4398,4844,5668,3324,4254,640,78,
432178,3696,4365,5237,5663,3362,4201,655,80,
432379,3808,4211,4872,5476,3408,4141,625,85,
432580,3841,4202,4919,5349,3355,4040,716,85,
432781,3934,4174,4956,5410,3323,3986,723,85,
432982,3972,4150,4970,5242,3303,3932,719,85,
433183,4028,4023,5012,5148,3322,3870,712,83,
433384,4131,4075,5078,5049,3277,3812,661,83,
433585,4094,4000,5096,5017,3278,3771,654,85,
433786,4009,4159,5092,5078,3297,3731,592,80,
433987,4023,4225,5157,5157,3329,3702,482,75,
434188,3939,4243,5073,5176,3373,3665,430,77,
434389,3836,4253,4993,5228,3370,3612,499,80,
434590,3851,4290,5068,5354,3371,3575,470,76,
434791,3846,4342,4974,5344,3360,3540,436,78,
434992,3780,4417,4942,5331,3371,3495,406,76,
435193,3776,4422,4905,5326,3350,3469,399,77,
435394,3757,4473,4886,5401,3325,3430,385,76,
435595,3696,4595,4839,5424,3321,3370,346,73,
435796,3644,4623,4773,5462,3313,3318,365,74,
435997,3564,4637,4764,5405,3339,3267,382,74,
436198,3546,4722,4680,5523,3329,3208,367,74,
436399,3485,4759,4633,5584,3315,3151,403,76,
436600,3569,4675,4811,5663,3294,3115,332,71,
436801,3414,4572,4848,5734,3297,3071,353,73,
437002,3339,4548,4848,5738,3306,3015,404,74,
437203,3306,4506,4952,5776,3293,2955,405,73,
437404,3316,4520,4961,5771,3295,2909,391,72,
437605,3414,4417,5012,5827,3241,2875,275,69,
437806,3203,4464,5012,5921,3263,2839,332,71,
